date,code,name,market,total_shares,foreign_shares,foreign_ratio
2025-10-07,00963,中信全球高股息,TWSE,98933000,1078150,1.08
2025-10-07,00964,中信亞太高股息,TWSE,16624000,449000,2.7
2025-10-07,00965,元大航太防衛科技,TWSE,729492000,9127582,1.25
2025-10-07,00971,野村美國研發龍頭,TWSE,93177000,1512074,1.62
2025-10-07,00972,野村日本動能高息,TWSE,24172000,1369000,5.66
2025-10-07,00980A,主動野村臺灣優選,TWSE,340730000,2920140,0.85
2025-10-07,00981A,主動統一台股增長,TWSE,1511709000,37676088,2.49
2025-10-07,00981T,平衡凱基雙核收息,TWSE,182261000,619000,0.33
2025-10-07,00982A,主動群益台灣強棒,TWSE,1150436000,21146144,1.83
2025-10-07,00983A,主動中信ARK創新,TWSE,231686000,1257940,0.54
2025-10-07,00984A,主動安聯台灣高息,TWSE,195958000,699355,0.35
2025-10-07,00985A,主動野村台灣50,TWSE,401289000,1869000,0.46
2025-10-07,00985B,群益ESG投等債0-5,TWSE,719001000,11552900,1.6
2025-10-07,00986A,主動台新龍頭成長,TWSE,94827000,4369163,4.6
2025-10-07,1101,台泥,TWSE,7551181742,1424749887,18.86
2025-10-07,1101B,台泥乙特,TWSE,200000000,84248,0.04
2025-10-07,1102,亞泥,TWSE,3546562881,738310182,20.81
2025-10-07,1103,嘉泥,TWSE,790247459,34318879,4.34
2025-10-07,1104,環泥,TWSE,686681816,107565072,15.66
2025-10-07,1108,幸福,TWSE,404738049,5338971,1.31
2025-10-07,1109,信大,TWSE,341158868,8269896,2.42
2025-10-07,1110,東泥,TWSE,572000797,34170312,5.97
2025-10-07,1201,味全,TWSE,506062914,28565689,5.64
2025-10-07,1203,味王,TWSE,240000000,4008851,1.67
2025-10-07,1210,大成,TWSE,894767222,105541584,11.79
2025-10-07,1213,大飲,TWSE,56622627,12151,0.02
2025-10-07,1215,卜蜂,TWSE,294790098,134454521,45.61
2025-10-07,1216,統一,TWSE,5682015421,2041383820,35.92
2025-10-07,1217,愛之味,TWSE,494513336,38444663,7.77
2025-10-07,1218,泰山,TWSE,499999038,14376419,2.87
2025-10-07,1219,福壽,TWSE,341238364,17910064,5.24
2025-10-07,1220,台榮,TWSE,177077944,12441606,7.02
2025-10-07,1225,福懋油,TWSE,229638204,4484048,1.95
2025-10-07,1227,佳格,TWSE,915089591,54582441,5.96
2025-10-07,1229,聯華,TWSE,1795960668,168044615,9.35
2025-10-07,1231,聯華食,TWSE,298454475,9271957,3.1
2025-10-07,1232,大統益,TWSE,159974915,3708147,2.31
2025-10-07,1233,天仁,TWSE,90591948,5033381,5.55
2025-10-07,1234,黑松,TWSE,401871094,19270110,4.79
2025-10-07,1235,興泰,TWSE,157148197,384855,0.24
2025-10-07,1236,宏亞,TWSE,86674008,179786,0.2
2025-10-07,1256,鮮活果汁-KY,TWSE,33842160,1296976,3.83
2025-10-07,1301,台塑,TWSE,6365740781,1722079242,27.05
2025-10-07,1303,南亞,TWSE,7930821589,2098880015,26.46
2025-10-07,1304,台聚,TWSE,1188763500,342094418,28.77
2025-10-07,1305,華夏,TWSE,581050494,25332532,4.35
2025-10-07,1307,三芳,TWSE,397818126,27256018,6.85
2025-10-07,1308,亞聚,TWSE,593743919,26911461,4.53
2025-10-07,1309,台達化,TWSE,397586848,7529278,1.89
2025-10-07,1310,台苯,TWSE,527869764,30928198,5.85
2025-10-07,1312,國喬,TWSE,1106620328,65900389,5.95
2025-10-07,1312A,國喬特,TWSE,20000000,447334,2.23
2025-10-07,1313,聯成,TWSE,1359689607,103929939,7.64
2025-10-07,1314,中石化,TWSE,3784850130,375681311,9.92
2025-10-07,1315,達新,TWSE,99099000,1177011,1.18
2025-10-07,1316,上曜,TWSE,367089019,18599734,5.06
2025-10-07,1319,東陽,TWSE,591477068,98325413,16.62
2025-10-07,1321,大洋,TWSE,227228268,16357190,7.19
2025-10-07,1323,永裕,TWSE,91274554,1572805,1.72
2025-10-07,1324,地球,TWSE,75121882,417959,0.55
2025-10-07,1325,恆大,TWSE,85281198,1832711,2.14
2025-10-07,1326,台化,TWSE,5861186291,1875042618,31.99
2025-10-07,1337,再生-KY,TWSE,268954729,67504182,25.09
2025-10-07,1338,廣華-KY,TWSE,83840000,5092377,6.07
2025-10-07,1339,昭輝,TWSE,74123875,689064,0.92
2025-10-07,1340,勝悅-KY,TWSE,152922855,40563173,26.52
2025-10-07,1341,富林-KY,TWSE,52850634,42195969,79.84
2025-10-07,1342,八貫,TWSE,78615259,21604595,27.48
2025-10-07,1402,遠東新,TWSE,5352875227,985687931,18.41
2025-10-07,1409,新纖,TWSE,1618409286,166541413,10.29
2025-10-07,1410,南染,TWSE,63000000,11635509,18.46
2025-10-07,1413,宏洲,TWSE,132112454,511259,0.38
2025-10-07,1414,東和,TWSE,220000000,3864338,1.75
2025-10-07,1416,廣豐,TWSE,185342168,11000682,5.93
2025-10-07,1417,嘉裕,TWSE,189941840,1572255,0.82
2025-10-07,1418,東華,TWSE,56834309,546243,0.96
2025-10-07,1419,新紡,TWSE,300041280,2934780,0.97
2025-10-07,1423,利華,TWSE,99648000,1388665,1.39
2025-10-07,1432,大魯閣,TWSE,108000000,474695,0.43
2025-10-07,1434,福懋,TWSE,1684664637,111959940,6.64
2025-10-07,1435,中福,TWSE,139780080,300669,0.21
2025-10-07,1436,華友聯,TWSE,172700652,7419465,4.29
2025-10-07,1437,勤益控,TWSE,203371284,15901344,7.81
2025-10-07,1438,三地開發,TWSE,111205759,475774,0.42
2025-10-07,1439,雋揚,TWSE,92000000,535762,0.58
2025-10-07,1440,南紡,TWSE,1656815857,123074741,7.42
2025-10-07,1441,大東,TWSE,71744387,852676,1.18
2025-10-07,1442,名軒,TWSE,366211358,36011297,9.83
2025-10-07,1443,立益物流,TWSE,135343011,497827,0.36
2025-10-07,1444,力麗,TWSE,995595059,51417076,5.16
2025-10-07,1445,大宇,TWSE,130666034,3520739,2.69
2025-10-07,1446,宏和,TWSE,137709513,9143094,6.63
2025-10-07,1447,力鵬,TWSE,910071242,45131398,4.95
2025-10-07,1449,佳和,TWSE,123093910,10842223,8.8
2025-10-07,1451,年興,TWSE,198000000,11880255,6.0
2025-10-07,1452,宏益,TWSE,132641400,2378452,1.79
2025-10-07,1453,大將,TWSE,113243048,647442,0.57
2025-10-07,1454,台富,TWSE,129833848,512335,0.39
2025-10-07,1455,集盛,TWSE,531688380,12428900,2.33
2025-10-07,1456,怡華,TWSE,93720000,466963,0.49
2025-10-07,1457,宜進,TWSE,316730022,5437621,1.71
2025-10-07,1459,聯發,TWSE,358628907,5646912,1.57
2025-10-07,1460,宏遠,TWSE,694643484,11781668,1.69
2025-10-07,1463,強盛新,TWSE,173268381,16101987,9.29
2025-10-07,1464,得力,TWSE,425575733,9033917,2.12
2025-10-07,1465,偉全,TWSE,103607267,406084,0.39
2025-10-07,1466,聚隆,TWSE,111157320,2307718,2.07
2025-10-07,1467,南緯,TWSE,233624667,46228019,19.78
2025-10-07,1468,昶和,TWSE,160405244,3113069,1.94
2025-10-07,1470,大統新創,TWSE,85767000,199371,0.23
2025-10-07,1471,首利,TWSE,150414536,1585798,1.05
2025-10-07,1472,三洋實業,TWSE,52488082,719123,1.37
2025-10-07,1473,台南,TWSE,146153534,7707922,5.27
2025-10-07,1474,弘裕,TWSE,129896969,584624,0.45
2025-10-07,1475,業旺,TWSE,66016749,288792,0.43
2025-10-07,1476,儒鴻,TWSE,274367111,91569003,33.37
2025-10-07,1477,聚陽,TWSE,246693713,41084403,16.65
2025-10-07,1503,士電,TWSE,520972223,161849246,31.06
2025-10-07,1504,東元,TWSE,2138796616,340746088,15.93
2025-10-07,1506,正道,TWSE,300388501,1417313,0.47
2025-10-07,1512,瑞利,TWSE,98183498,5028823,5.12
2025-10-07,1513,中興電,TWSE,503112515,93992129,18.68
2025-10-07,1514,亞力,TWSE,273108473,38838075,14.22
2025-10-07,1515,力山,TWSE,181473500,10207443,5.62
2025-10-07,1516,川飛,TWSE,40008195,205389,0.51
2025-10-07,1517,利奇,TWSE,223300007,4728276,2.11
2025-10-07,1519,華城,TWSE,315880844,57257663,18.12
2025-10-07,1521,大億,TWSE,76230000,25153161,32.99
2025-10-07,1522,堤維西,TWSE,312897881,15522286,4.96
2025-10-07,1522A,堤維西甲特,TWSE,30000000,1485,0.0
2025-10-07,1524,耿鼎,TWSE,165310397,2369677,1.43
2025-10-07,1525,江申,TWSE,73400135,214025,0.29
2025-10-07,1526,日馳,TWSE,60000000,1090217,1.81
